"Plot Title: Goose"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 10636493, SEN S/N: 10636493)","Intensity, Lux (LGR S/N: 10636493, SEN S/N: 10636493)","Host Connected (LGR S/N: 10636493)","Coupler Attached (LGR S/N: 10636493)","Stopped (LGR S/N: 10636493)","End Of File (LGR S/N: 10636493)"
104,05/02/18 01:10:00 AM,13.173,0.0,,,,
105,05/02/18 01:20:00 AM,13.173,0.0,,,,
106,05/02/18 01:30:00 AM,12.787,0.0,,,,
107,05/02/18 01:40:00 AM,12.594,0.0,,,,
108,05/02/18 01:50:00 AM,12.883,0.0,,,,
109,05/02/18 02:00:00 AM,12.594,0.0,,,,
110,05/02/18 02:10:00 AM,12.497,0.0,,,,
111,05/02/18 02:20:00 AM,12.497,0.0,,,,
112,05/02/18 02:30:00 AM,12.304,0.0,,,,
113,05/02/18 02:40:00 AM,12.207,0.0,,,,
114,05/02/18 02:50:00 AM,12.013,0.0,,,,
115,05/02/18 03:00:00 AM,12.013,0.0,,,,
116,05/02/18 03:10:00 AM,12.013,0.0,,,,
117,05/02/18 03:20:00 AM,11.819,0.0,,,,
118,05/02/18 03:30:00 AM,11.625,0.0,,,,
119,05/02/18 03:40:00 AM,11.625,0.0,,,,
120,05/02/18 03:50:00 AM,11.625,0.0,,,,
121,05/02/18 04:00:00 AM,11.236,0.0,,,,
122,05/02/18 04:10:00 AM,11.528,0.0,,,,
123,05/02/18 04:20:00 AM,11.528,0.0,,,,
124,05/02/18 04:30:00 AM,11.431,0.0,,,,
125,05/02/18 04:40:00 AM,11.431,0.0,,,,
126,05/02/18 04:50:00 AM,11.334,0.0,,,,
127,05/02/18 05:00:00 AM,11.139,0.0,,,,
128,05/02/18 05:10:00 AM,11.139,0.0,,,,
129,05/02/18 05:20:00 AM,11.041,10.8,,,,
130,05/02/18 05:30:00 AM,10.944,96.9,,,,
131,05/02/18 05:40:00 AM,10.748,376.7,,,,
132,05/02/18 05:50:00 AM,10.944,914.9,,,,
133,05/02/18 06:00:00 AM,11.334,1722.2,,,,
134,05/02/18 06:10:00 AM,11.625,2755.6,,,,
135,05/02/18 06:20:00 AM,12.013,3788.9,,,,
136,05/02/18 06:30:00 AM,12.110,4822.3,,,,
137,05/02/18 06:40:00 AM,12.594,6200.0,,,,
138,05/02/18 06:50:00 AM,13.269,7577.8,,,,
139,05/02/18 07:00:00 AM,15.951,12400.1,,,,
140,05/02/18 07:10:00 AM,17.855,15844.5,,,,
141,05/02/18 07:20:00 AM,20.043,21355.7,,,,
142,05/02/18 07:30:00 AM,20.805,27555.7,,,,
143,05/02/18 07:40:00 AM,22.046,34444.7,,,,
144,05/02/18 07:50:00 AM,23.388,41333.6,,,,
145,05/02/18 08:00:00 AM,24.158,49600.3,,,,
146,05/02/18 08:10:00 AM,25.416,55111.5,,,,
147,05/02/18 08:20:00 AM,26.488,66133.8,,,,
148,05/02/18 08:30:00 AM,27.862,74400.5,,,,
149,05/02/18 08:40:00 AM,29.152,85422.8,,,,
150,05/02/18 08:50:00 AM,30.760,93689.5,,,,
151,05/02/18 09:00:00 AM,33.848,99200.7,,,,
152,05/02/18 09:10:00 AM,34.374,110223.0,,,,
153,05/02/18 09:20:00 AM,35.328,121245.2,,,,
154,05/02/18 09:30:00 AM,35.756,126756.4,,,,
155,05/02/18 09:40:00 AM,36.403,126756.4,,,,
156,05/02/18 09:50:00 AM,35.115,85422.8,,,,
157,05/02/18 10:00:00 AM,36.946,88178.4,,,,
158,05/02/18 10:10:00 AM,35.328,132267.5,,,,
159,05/02/18 10:20:00 AM,31.370,57867.0,,,,
160,05/02/18 10:30:00 AM,31.778,82667.2,,,,
161,05/02/18 10:40:00 AM,36.187,137778.7,,,,
162,05/02/18 10:50:00 AM,39.389,143289.8,,,,
163,05/02/18 11:00:00 AM,40.761,187379.0,,,,
164,05/02/18 11:10:00 AM,40.876,176356.7,,,,
165,05/02/18 11:20:00 AM,39.843,176356.7,,,,
166,05/02/18 11:30:00 AM,38.602,115734.1,,,,
167,05/02/18 11:40:00 AM,37.055,143289.8,,,,
168,05/02/18 11:50:00 AM,39.843,187379.0,,,,
169,05/02/18 12:00:00 PM,39.957,187379.0,,,,
170,05/02/18 12:10:00 PM,39.957,198401.3,,,,
171,05/02/18 12:20:00 PM,39.389,176356.7,,,,
172,05/02/18 12:30:00 PM,39.957,121245.2,,,,
173,05/02/18 12:40:00 PM,35.328,85422.8,,,,
174,05/02/18 12:50:00 PM,36.187,121245.2,,,,
175,05/02/18 01:00:00 PM,37.274,170845.6,,,,
176,05/02/18 01:10:00 PM,38.046,132267.5,,,,
177,05/02/18 01:20:00 PM,38.714,159823.3,,,,
178,05/02/18 01:30:00 PM,37.165,121245.2,,,,
179,05/02/18 01:40:00 PM,34.796,115734.1,,,,
180,05/02/18 01:50:00 PM,37.494,176356.7,,,,
181,05/02/18 02:00:00 PM,38.490,132267.5,,,,
182,05/02/18 02:10:00 PM,37.055,132267.5,,,,
183,05/02/18 02:20:00 PM,34.163,115734.1,,,,
184,05/02/18 02:30:00 PM,35.435,66133.8,,,,
185,05/02/18 02:40:00 PM,33.743,99200.7,,,,
186,05/02/18 02:50:00 PM,35.222,82667.2,,,,
187,05/02/18 03:00:00 PM,33.222,68889.3,,,,
188,05/02/18 03:10:00 PM,32.497,60622.6,,,,
189,05/02/18 03:20:00 PM,33.639,68889.3,,,,
190,05/02/18 03:30:00 PM,33.014,63378.2,,,,
191,05/02/18 03:40:00 PM,32.394,60622.6,,,,
192,05/02/18 03:50:00 PM,31.880,49600.3,,,,
193,05/02/18 04:00:00 PM,31.166,42711.4,,,,
194,05/02/18 04:10:00 PM,30.558,42711.4,,,,
195,05/02/18 04:20:00 PM,30.154,33066.9,,,,
196,05/02/18 04:30:00 PM,29.252,27555.7,,,,
197,05/02/18 04:40:00 PM,28.655,22044.6,,,,
198,05/02/18 04:50:00 PM,28.258,19289.0,,,,
199,05/02/18 05:00:00 PM,28.456,30311.3,,,,
200,05/02/18 05:10:00 PM,32.497,71644.9,,,,
201,05/02/18 05:20:00 PM,34.691,44089.2,,,,
202,05/02/18 05:30:00 PM,30.963,41333.6,,,,
203,05/02/18 05:40:00 PM,30.255,33066.9,,,,
204,05/02/18 05:50:00 PM,28.953,24800.2,,,,
205,05/02/18 06:00:00 PM,27.764,13777.9,,,,
206,05/02/18 06:10:00 PM,26.781,8611.2,,,,
207,05/02/18 06:20:00 PM,26.195,7233.4,,,,
208,05/02/18 06:30:00 PM,25.902,6200.0,,,,
209,05/02/18 06:40:00 PM,25.513,5166.7,,,,
210,05/02/18 06:50:00 PM,25.222,4650.0,,,,
211,05/02/18 07:00:00 PM,25.125,3616.7,,,,
212,05/02/18 07:10:00 PM,24.545,2152.8,,,,
213,05/02/18 07:20:00 PM,24.545,1324.0,,,,
214,05/02/18 07:30:00 PM,24.062,753.5,,,,
215,05/02/18 07:40:00 PM,23.292,204.5,,,,
216,05/02/18 07:50:00 PM,22.717,53.8,,,,
217,05/02/18 08:00:00 PM,22.621,0.0,,,,
218,05/02/18 08:10:00 PM,22.333,0.0,,,,
219,05/02/18 08:20:00 PM,22.238,0.0,,,,
220,05/02/18 08:30:00 PM,21.951,0.0,,,,
221,05/02/18 08:40:00 PM,21.282,0.0,,,,
222,05/02/18 08:50:00 PM,20.519,0.0,,,,
223,05/02/18 09:00:00 PM,20.234,0.0,,,,
224,05/02/18 09:10:00 PM,19.662,0.0,,,,
225,05/02/18 09:20:00 PM,19.472,0.0,,,,
226,05/02/18 09:30:00 PM,18.996,0.0,,,,
